State,County,Category Code,Site ID,Proposed Date,HRS_Score,Site_Contaminants,Year,County_Population,Total_Cancer_Count_M/F,Total_Cancer_Count_Female,Total_Cancer_Count_Male,Total_Cancer_Count_Hisp_M/F,Total_Cancer_Count_Hisp_F,Total_Cancer_Count_Hisp_M,Combined_Cancer_Rate
FL,HILLSBOROUGH,OT,406539,2000-05-11,50.0,"(E)-1,3-DICHLORO-1-PROPENE,(Z)-1,3-DICHLORO-1-PROPENE,1,1,1-TRICHLOROETHANE,1,1,2,2-TETRACHLOROETHANE,1,1,2-TRICHLOROETHANE,1,1-DICHLOROETHANE,1,1-DICHLOROETHENE,1,2-DICHLOROETHENE (CIS AND TRANS MIXTURE),ACETONE,ALPHA-CHLORDANE,ALUMINUM,AROCLOR 1254,BARIUM,BENZENE,BERYLLIUM,BROMODICHLOROMETHANE,BROMOFORM,CADMIUM,CALCIUM,CARBON TETRACHLORIDE,CHLOROBENZENE,CHLOROFORM,CHLOROMETHANE,CHROMIUM,COBALT,COPPER,DIBROMOCHLOROMETHANE,DICHLOROMETHANE (METHYLENE CHLORIDE),ENDRIN,ETHYLBENZENE,GAMMA-CHLORDANE,GAMMA-HEXACHLOROCYCLOHEXANE (LINDANE),HEPTACHLOR,IRON,LEAD,MAGNESIUM,MANGANESE,NICKEL,PENTACHLOROPHENOL,POTASSIUM,SELENIUM,SILVER,SODIUM,STYRENE,TETRACHLOROETHENE,TOLUENE,TRICHLOROETHENE,VANADIUM,XYLENE (MIXED ISOMERS),ZINC",2000,7123480.0,38201.0,18979.0,19222.0,,,,484.0
FL,HILLSBOROUGH,RE,400779,1996-06-17,37.61999893,"ALUMINUM,ANTIMONY,ARSENIC,BENZO[A]PYRENE,CADMIUM,CHROMIUM,FLUORIDE,IRON,LEAD,MANGANESE,MERCURY,SODIUM,THALLIUM,VANADIUM,ZINC",1996,6510264.0,32111.0,15723.0,16388.0,5378.0,2772.0,2606.0,464.7
FL,JACKSON,RE,400804,2002-09-05,33.72999954,"ALDRIN,ALUMINUM,ANTIMONY,ARSENIC,CADMIUM,DICHLOROMONOFLUOROMETHANE,DIELDRIN,HEPTACHLOR,HEPTACHLOR EPOXIDE,IRON,LEAD,MANGANESE,TRICHLOROETHENE,VANADIUM, METAL AND/OR ALLOY",2002,239709.0,1079.0,480.0,599.0,,,,318.6
FL,MARTIN,MP,400642,1998-03-06,50.0,"1,1-DICHLOROETHANE,1,1-DICHLOROETHENE,ACETONE,CADMIUM,CHLOROETHENE (VINYL CHLORIDE),CIS-1,2-DICHLOROETHENE,COPPER,MANGANESE,NICKEL,SILVER,TETRACHLOROETHENE,TRANS-1,2-DICHLOROETHENE,TRICHLOROETHENE",1998,778139.0,6522.0,3034.0,3488.0,262.0,132.0,130.0,456.3
FL,PALM BEACH,MP,400785,1999-10-22,50.0,"1,1-DICHLOROETHANE,1,2-DICHLOROETHENE (CIS AND TRANS MIXTURE),ALDRIN,ARSENIC,BENZO[A]PYRENE EQUIVALENTS (BaPEq),BETA-HEXACHLOROCYCLOHEXANE,BROMODICHLOROMETHANE,CHLOROFORM,FLUORIDE,POLYCYCLIC AROMATIC HYDROCARBONS (PAHS),TETRACHLOROETHENE,TRICHLOROETHENE",1999,7227022.0,48605.0,24102.0,24503.0,4833.0,2486.0,2347.0,437.0
FL,POLK,MP,400627,2000-02-04,50.0,"1,2,4-TRICHLOROBENZENE,2,4-DICHLOROPHENOL,4-NITROPHENOL,ALDRIN,ARSENIC,CADMIUM,CHLORDANE,CHLOROMETHANE,CHROMIUM,DIELDRIN,DIOXINS (CHLORINATED DIBENZODIOXINS),GAMMA-HEXACHLOROCYCLOHEXANE (LINDANE),HEPTACHLOR,HEPTACHLOR EPOXIDE,LEAD,P,P'-DDD,P,P'-DDE,P,P'-DDT,TOXAPHENE,XYLENE (MIXED ISOMERS)",2000,3432946.0,22934.0,11092.0,11842.0,,,,488.2
FL,POLK,RE,400792,2000-02-04,,"1-PHENYLETHANONE,ALPHA-CHLORDANE,ALUMINUM,AROCLOR 1016,ARSENIC,ATRAZINE,AZEPAN-2-ONE,BARIUM,BENZO(B)FLUORANTHENE,BENZO(K)FLUORANTHENE,BENZO[A]PYRENE,BERYLLIUM,CADMIUM,CARCINOGENIC POLYCYCLIC AROMATIC HYDROCARBONS (cPAH),CHROMIUM,CHRYSENE,COBALT,GAMMA-CHLORDANE,HEPTACHLOR EPOXIDE,INDENO(1,2,3-CD)PYRENE,IRON,LEAD,MANGANESE,MERCURY,P,P'-DDE,P,P'-DDT,SELENIUM,THALLIUM,TOXAPHENE,VANADIUM, METAL AND/OR ALLOY,XYLENE (MIXED ISOMERS),ZINC",2000,3432946.0,22934.0,11092.0,11842.0,,,,488.2
GA,GLYNN,MP,404439,1997-04-01,50.18000031,TOXAPHENE,1997,413021.0,2422.0,1223.0,1199.0,44.0,25.0,19.0,455.3
GA,GLYNN,MP,405622,1996-12-23,54.49000168,"1,2,3-TRIMETHYLBENZENE,1,2,4-TRIMETHYLBENZENE,1,2-DIHYDROACENAPHTHYLENE,1,3,5-TRIMETHYLBENZENE,1-PHENYLETHANONE,2,4,6-TRICHLOROPHENOL,2,4-DICHLOROPHENOL,2,4-DIMETHYLPHENOL,2-CHLORONAPHTHALENE,2-METHOXY-2-METHYLPROPANE (MTBE),2-METHYLNAPHTHALENE,2-METHYLPHENOL (O-CRESOL),3-METHYLPHENOL (M-CRESOL),9H-CARBAZOLE,9H-FLUORENE,ACENAPHTHYLENE,ALDRIN,ANTHRACENE,ARSENIC,BARIUM,BENZENE,BENZO(B)FLUORANTHENE,BENZO(GHI)PERYLENE,BENZO[A]ANTHRACENE,BENZO[A]PYRENE,BETA-HEXACHLOROCYCLOHEXANE,BIS(2-ETHYLHEXYL)PHTHALATE,CHLOROMETHANE,CHROMIUM,CHRYSENE,CREOSOTE,DI-N-OCTYL PHTHALATE,DIBENZO(A,H)ANTHRACENE,DIBENZOFURAN,DIBUTYL PHTHALATE,DIOXINS (CHLORINATED DIBENZODIOXINS),FLUORANTHENE,HEPTACHLOR,HEPTACHLOR EPOXIDE,INDENO(1,2,3-CD)PYRENE,IRON,MANGANESE,MERCURY,NAPHTHALENE,NICKEL,PENTACHLOROPHENOL,PHENANTHRENE,PYRENE,TOLUENE,VANADIUM, METAL AND/OR ALLOY,XYLENE (MIXED ISOMERS)",1996,408848.0,2356.0,1171.0,1185.0,45.0,29.0,16.0,454.7
GA,MITCHELL,MP,401395,1998-03-06,50.0,"1,2-DIHYDROACENAPHTHYLENE,2,3,7,8-TETRACHLORODIBENZO-p-DIOXIN (TCDD) TOXICITY EQUIVALENTS (TEq),2,4-DIMETHYLPHENOL,2-METHYLNAPHTHALENE,2-METHYLPHENOL (O-CRESOL),9H-CARBAZOLE,9H-FLUORENE,ARSENIC,BENZENE,BENZO(B)FLUORANTHENE,BENZO(K)FLUORANTHENE,BENZO[A]ANTHRACENE,BENZO[A]PYRENE,CHRYSENE,CREOSOTE,DIBENZOFURAN,ETHYLBENZENE,HEPTACHLOR EPOXIDE,INDENO(1,2,3-CD)PYRENE,MANGANESE,NAPHTHALENE,NICKEL,PENTACHLOROPHENOL,PHENANTHRENE,POLYCYCLIC AROMATIC HYDROCARBONS (PAHS)",1998,112957.0,646.0,321.0,325.0,,,,475.9
IA,POLK,OT,703065,2001-09-13,50.0,"ARSENIC,BARIUM,BIS(2-ETHYLHEXYL)PHTHALATE,CHLOROETHENE (VINYL CHLORIDE),CIS-1,2-DICHLOROETHENE,MANGANESE,TETRACHLOROETHENE,TRANS-1,2-DICHLOROETHENE,TRICHLOROETHENE",2001,2427089.0,12170.0,6163.0,6007.0,,,,476.4
ID,BENEWAH,MP,1002095,2000-12-01,50.0,"1,2-DIHYDROACENAPHTHYLENE,1,2-DIMETHYLBENZENE (O-XYLENE),2,4-DIMETHYLPHENOL,2-METHYLPHENOL (O-CRESOL),4-METHYLPHENOL (P-CRESOL),9H-CARBAZOLE,9H-FLUORENE,ANTHRACENE,BENZENE,BENZO(B)FLUORANTHENE,BENZO(K)FLUORANTHENE,BENZO[A]ANTHRACENE,BENZO[A]PYRENE,BIS(2-ETHYLHEXYL)PHTHALATE,BROMOMETHANE,CHRYSENE,DIBENZO(A,H)ANTHRACENE,DIBENZOFURAN,ETHYLBENZENE,FLUORANTHENE,INDENO(1,2,3-CD)PYRENE,NAPHTHALENE,PYRENE,STYRENE,TOLUENE,XYLENE (MIXED ISOMERS)",2000,45724.0,299.0,131.0,168.0,,,,420.6
ID,VALLEY,MI,1000236,2001-09-13,50.0,ARSENIC,2001,55427.0,379.0,148.0,231.0,,,,424.5
